data,valor
1/1/1980,"6,62"
1/2/1980,"4,62"
1/3/1980,"6,04"
1/4/1980,"5,29"
1/5/1980,"5,70"
1/6/1980,"5,31"
1/7/1980,"5,55"
1/8/1980,"4,95"
1/9/1980,"4,23"
1/10/1980,"9,48"
1/11/1980,"6,67"
1/12/1980,"6,61"
1/1/1981,"6,84"
1/2/1981,"6,40"
1/3/1981,"4,97"
1/4/1981,"6,46"
1/5/1981,"5,56"
1/6/1981,"5,52"
1/7/1981,"6,26"
1/8/1981,"5,50"
1/9/1981,"5,26"
1/10/1981,"5,08"
1/11/1981,"5,27"
1/12/1981,"5,93"
1/1/1982,"6,97"
1/2/1982,"6,64"
1/3/1982,"5,71"
1/4/1982,"5,89"
1/5/1982,"6,66"
1/6/1982,"7,10"
1/7/1982,"6,36"
1/8/1982,"5,97"
1/9/1982,"5,08"
1/10/1982,"4,44"
1/11/1982,"5,29"
1/12/1982,"7,81"
1/1/1983,"8,64"
1/2/1983,"7,86"
1/3/1983,"7,34"
1/4/1983,"6,58"
1/5/1983,"6,48"
1/6/1983,"9,88"
1/7/1983,"10,08"
1/8/1983,"9,11"
1/9/1983,"10,30"
1/10/1983,"8,87"
1/11/1983,"7,38"
1/12/1983,"8,68"
1/1/1984,"9,67"
1/2/1984,"9,50"
1/3/1984,"8,94"
1/4/1984,"9,54"
1/5/1984,"9,05"
1/6/1984,"10,08"
1/7/1984,"9,72"
1/8/1984,"9,35"
1/9/1984,"11,75"
1/10/1984,"10,44"
1/11/1984,"10,53"
1/12/1984,"11,98"
1/1/1985,"11,76"
1/2/1985,"10,87"
1/3/1985,"10,16"
1/4/1985,"8,20"
1/5/1985,"7,20"
1/6/1985,"8,49"
1/7/1985,"10,31"
1/8/1985,"12,05"
1/9/1985,"11,12"
1/10/1985,"10,62"
1/11/1985,"13,97"
1/12/1985,"15,07"
1/1/1986,"14,37"
1/2/1986,"12,72"
1/3/1986,"4,77"
1/4/1986,"0,78"
1/5/1986,"1,40"
1/6/1986,"1,27"
1/7/1986,"1,71"
1/8/1986,"3,55"
1/9/1986,"1,72"
1/10/1986,"1,90"
1/11/1986,"5,45"
1/12/1986,"11,65"
1/1/1987,"13,21"
1/2/1987,"12,64"
1/3/1987,"16,37"
1/4/1987,"19,10"
1/5/1987,"21,45"
1/6/1987,"19,71"
1/7/1987,"9,21"
1/8/1987,"4,87"
1/9/1987,"7,78"
1/10/1987,"11,22"
1/11/1987,"15,08"
1/12/1987,"14,15"
1/1/1988,"18,89"
1/2/1988,"15,70"
1/3/1988,"17,60"
1/4/1988,"19,29"
1/5/1988,"17,42"
1/6/1988,"22,00"
1/7/1988,"21,91"
1/8/1988,"21,59"
1/9/1988,"27,45"
1/10/1988,"25,62"
1/11/1988,"27,94"
